,attendance,entry_mode,id,number,reference,scheduled,status,utc_offset,weather
190,76432,INGEST,c292b014-4449-4038-97a5-054a5a3414f9,187,55690,2012-12-02T21:05:35+00:00,closed,-7,
191,81851,INGEST,f90789da-db58-42c9-b678-b8c9880226f6,191,55694,2012-12-03T01:30:49+00:00,closed,-6,
192,62422,INGEST,303a0070-3bf7-495a-89a5-314fd63f1e09,197,55700,2012-12-09T18:02:43+00:00,closed,-5,
193,69732,INGEST,3519d8b2-c742-4f89-9437-6a8f1917c925,204,55707,2012-12-09T21:05:28+00:00,closed,-8,
194,64134,INGEST,3c41f6d2-f4ed-4cd0-9902-cefae66a7f38,200,55703,2012-12-09T18:03:17+00:00,closed,-6,
195,67685,INGEST,47d76252-33bb-45aa-b0ef-724a702d2d28,206,55709,2012-12-09T21:25:46+00:00,closed,-8,
196,73292,INGEST,4c2f059d-3c1f-4420-8a0f-a3917431ab67,195,55698,2012-12-09T18:03:00+00:00,closed,-5,
197,81437,INGEST,4c56a20f-46d6-47af-a86e-daefb14fbe8a,205,55708,2012-12-09T21:25:44+00:00,closed,-5,
198,68109,INGEST,4c5f684d-113e-451c-9284-f1b22727d740,194,55697,2012-12-09T18:03:27+00:00,closed,-5,
199,64688,INGEST,5178e12e-5597-449d-9b39-126a7c8fed33,198,55701,2012-12-09T18:02:38+00:00,closed,-5,
200,61359,INGEST,5aa70166-f140-4669-9345-fa429d2e9ea4,201,55704,2012-12-09T18:02:39+00:00,closed,-5,
201,81178,INGEST,5bd42766-5b91-4763-a8fe-0df3b25e016f,203,55706,2012-12-09T18:03:01+00:00,closed,-5,
202,53807,INGEST,6f19c3f0-2ae8-46d6-a06e-a2daffd4c7b9,193,55696,2012-12-07T01:29:54+00:00,closed,-8,
203,67027,INGEST,72e6a09f-708d-463e-9d8f-c3fca1bed7b2,199,55702,2012-12-09T18:02:50+00:00,closed,-5,
204,64941,INGEST,947c3359-fb46-4c50-8207-33a43a35c155,202,55705,2012-12-09T18:03:10+00:00,closed,-5,
205,70382,INGEST,a713208c-0330-401e-8a8d-b40417e33bf9,207,55710,2012-12-10T01:30:48+00:00,closed,-6,
206,68756,INGEST,bfbe0676-cdde-48bf-9c68-51df8e467789,208,55711,2012-12-11T01:40:48+00:00,closed,-5,
207,63590,INGEST,de119a69-a16e-47d8-9a64-f769a09564e1,196,55699,2012-12-09T18:03:35+00:00,closed,-5,
208,73096,INGEST,016b3fd8-f683-42f5-a06f-0dee018bd327,216,55719,2012-12-16T18:03:47+00:00,closed,-6,
209,51446,INGEST,0e2e8472-598e-458f-8f95-82aa81783ddf,222,55725,2012-12-16T21:25:37+00:00,closed,-8,
210,55751,INGEST,19314aea-7cd2-444a-b3ab-a7c784e28542,217,55720,2012-12-16T18:04:12+00:00,closed,-6,
211,53667,INGEST,1e92fc1e-917f-44ec-807c-fc04a679210e,215,55718,2012-12-16T18:03:16+00:00,closed,-5,
212,69143,INGEST,3176de98-615e-4d49-952f-654eb2ed26c3,224,55727,2012-12-18T01:40:52+00:00,closed,-6,
213,65083,INGEST,3bc1dcd6-db3f-4ec3-ad0c-3ba599adddcb,213,55716,2012-12-16T18:03:50+00:00,closed,-5,
214,68756,INGEST,3e8ddf7f-ff00-4f67-b6da-45b1635cf44b,223,55726,2012-12-17T01:31:13+00:00,closed,-5,
215,40770,INGEST,68a9b9ef-0848-4f6e-8581-340f8f20220f,219,55722,2012-12-16T21:05:27+00:00,closed,-5,
216,62534,INGEST,6d3e96ef-95f8-43ab-a75c-86f034ce9d1a,212,55715,2012-12-16T18:03:17+00:00,closed,-6,
217,53832,INGEST,70ee2f0e-d3fb-4af6-905e-15998cefba32,220,55723,2012-12-16T21:05:48+00:00,closed,-8,
218,95595,INGEST,77fdba01-9715-4450-a791-8a9986be4095,221,55724,2012-12-16T21:25:34+00:00,closed,-6,
219,60483,INGEST,7d65d1c1-1886-4f5b-a5e5-e84ec1a1ce90,218,55721,2012-12-16T21:05:32+00:00,closed,-7,
220,70741,INGEST,80a84713-7b41-4958-a562-55810e2859df,210,55713,2012-12-16T18:03:37+00:00,closed,-5,
221,71702,INGEST,a2647c98-2967-496c-9bd4-82850a11c877,214,55717,2012-12-16T18:02:23+00:00,closed,-6,
